cdate,cp,pctlead,pred_linr,pred_logr
2001-01-02,1283.270000,5.009900,0.092371,0.493101
2001-01-03,1347.560100,-1.055200,0.049814,0.472042
2001-01-04,1333.340000,-2.624200,0.104432,0.490832
2001-01-05,1298.350000,-0.191800,-0.116633,0.433887
2001-01-08,1295.860000,0.381200,-0.053530,0.538802
2001-01-09,1300.800000,0.958600,0.288275,0.561108
2001-01-10,1313.270000,1.031800,0.157667,0.477286
2001-01-11,1326.819900,-0.623300,0.009918,0.500361
2001-01-12,1318.550000,0.614300,-0.073924,0.499570
2001-01-16,1326.650000,0.212600,0.094027,0.519753
2001-01-17,1329.470000,1.391500,0.147685,0.524680
2001-01-18,1347.970000,-0.402800,0.060530,0.474039
2001-01-19,1342.540000,0.026800,-0.014026,0.477759
2001-01-22,1342.900000,1.303100,0.007028,0.472230
2001-01-23,1360.400000,0.286700,0.044195,0.491763
2001-01-24,1364.300000,-0.497700,0.097206,0.488729
2001-01-25,1357.510000,-0.188600,-0.021059,0.464866
2001-01-26,1354.950000,0.680500,-0.018364,0.494636
2001-01-29,1364.170000,0.700800,0.088529,0.493426
2001-01-30,1373.730000,-0.562000,0.097897,0.485470
2001-01-31,1366.010000,0.546100,0.017627,0.481317
2001-02-01,1373.470000,-1.747400,-0.020039,0.489155
2001-02-02,1349.470000,0.358700,0.056565,0.518014
2001-02-05,1354.310100,-0.151400,0.096253,0.491728
2001-02-06,1352.260000,-0.840800,0.103335,0.515649
2001-02-07,1340.890000,-0.623500,0.073813,0.495505
2001-02-08,1332.530000,-1.333600,0.012060,0.511011
2001-02-09,1314.760000,1.182700,0.095857,0.545045
2001-02-12,1330.310100,-0.865200,0.137694,0.519118
2001-02-13,1318.800000,-0.218400,0.161685,0.537936
2001-02-14,1315.920000,0.812400,0.047009,0.504786
2001-02-15,1326.610000,-1.890500,0.063024,0.538314
2001-02-16,1301.530000,-1.735700,0.128735,0.537900
2001-02-20,1278.939900,-1.850700,0.064995,0.508139
2001-02-21,1255.270000,-0.195200,0.123733,0.554621
2001-02-22,1252.819900,-0.555500,0.155831,0.534005
2001-02-23,1245.860000,1.749000,0.137663,0.540910
2001-02-26,1267.650000,-0.766000,0.117038,0.530689
2001-02-27,1257.939900,-1.430900,0.099366,0.551165
2001-02-28,1239.939900,0.104000,0.105210,0.544448
2001-03-01,1241.230000,-0.568000,0.111023,0.556576
2001-03-02,1234.180100,0.585800,0.188681,0.544834
2001-03-05,1241.410000,0.998100,0.103751,0.488043
2001-03-06,1253.800000,0.645200,0.060463,0.511305
2001-03-07,1261.890000,0.225800,0.039256,0.502183
2001-03-08,1264.740000,-2.476400,0.039224,0.507298
2001-03-09,1233.420000,-4.318100,0.041777,0.518951
2001-03-12,1180.160000,1.482800,0.064473,0.510008
2001-03-13,1197.660000,-2.584200,0.153825,0.529510
2001-03-14,1166.710000,0.587100,0.237326,0.545449
2001-03-15,1173.560100,-1.962400,0.021831,0.483755
2001-03-16,1150.530000,1.762700,0.028687,0.591704
2001-03-19,1170.810100,-2.407700,0.212212,0.568979
2001-03-20,1142.620000,-1.792400,0.220320,0.585996
2001-03-21,1122.140000,-0.406400,0.159111,0.549542
2001-03-22,1117.580000,1.990900,0.074633,0.560232
2001-03-23,1139.830000,1.128200,0.254736,0.561018
2001-03-26,1152.689900,2.557500,0.114414,0.500310
2001-03-27,1182.170000,-2.443000,0.030962,0.505518
2001-03-28,1153.290000,-0.463000,-0.009356,0.521354
2001-03-29,1147.950000,1.078400,0.054408,0.508489
2001-03-30,1160.330000,-1.246200,0.124746,0.525714
2001-04-02,1145.870000,-3.439300,0.155275,0.468288
2001-04-03,1106.460000,-0.290100,-0.086736,0.451685
2001-04-04,1103.250000,4.368000,0.007577,0.533440
2001-04-05,1151.439900,-1.998400,0.196711,0.543176
2001-04-06,1128.430100,0.811700,0.169603,0.517856
2001-04-09,1137.590000,2.706600,-0.102355,0.473928
2001-04-10,1168.380000,-0.213100,0.065234,0.567319
2001-04-11,1165.890000,1.510400,0.226143,0.509327
2001-04-12,1183.500000,-0.322800,-0.025356,0.446885
2001-04-16,1179.680100,1.028200,-0.006572,0.487375
2001-04-17,1191.810100,3.889000,-0.016818,0.439459
2001-04-18,1238.160000,1.254300,0.044904,0.462867
2001-04-19,1253.689900,-0.854300,-0.017512,0.439674
2001-04-20,1242.980000,-1.498000,-0.188559,0.413012
2001-04-23,1224.360000,-1.216100,-0.059455,0.474602
2001-04-24,1209.470000,1.594100,0.078112,0.481262
2001-04-25,1228.750000,0.469600,0.106313,0.459362
2001-04-26,1234.520000,1.501000,0.014716,0.459834
2001-04-27,1253.050000,-0.286500,-0.116506,0.453341
2001-04-30,1249.460000,1.359000,0.002880,0.511157
2001-05-01,1266.439900,0.078200,0.081710,0.505492
2001-05-02,1267.430100,-1.487300,0.086789,0.501458
2001-05-03,1248.580000,1.444000,0.025449,0.471991
2001-05-04,1266.610000,-0.244700,-0.057668,0.467948
2001-05-07,1263.510000,-0.182800,0.107030,0.496738
2001-05-08,1261.200000,-0.448800,0.008001,0.454836
2001-05-09,1255.540000,-0.028700,-0.008239,0.502217
2001-05-10,1255.180100,-0.757700,0.052789,0.508978
2001-05-11,1245.670000,0.260900,0.061225,0.507110
2001-05-14,1248.920000,0.041600,0.097816,0.505591
