cdate,cp,pctlead,pred_linr,pred_logr
2018-01-02,2695.810100,0.639900,0.011360,0.507718
2018-01-03,2713.060100,0.402900,-0.066864,0.491423
2018-01-04,2723.990000,0.703400,-0.055518,0.499344
2018-01-05,2743.149900,0.166200,-0.061260,0.497967
2018-01-08,2747.710000,0.130300,-0.071038,0.490426
2018-01-09,2751.290000,-0.111200,-0.018763,0.502596
2018-01-10,2748.230000,0.703400,-0.055193,0.491442
2018-01-11,2767.560100,0.675000,-0.074758,0.487347
2018-01-12,2786.240000,-0.352400,-0.113444,0.477339
2018-01-16,2776.419900,0.941500,-0.026848,0.492431
2018-01-17,2802.560100,-0.161600,-0.030297,0.496764
2018-01-18,2798.030000,0.438500,-0.093090,0.490296
2018-01-19,2810.300000,0.806700,-0.049513,0.502814
2018-01-22,2832.970000,0.217400,-0.065176,0.477149
2018-01-23,2839.129900,-0.056000,-0.092513,0.481364
2018-01-24,2837.540000,0.060300,0.011435,0.505627
2018-01-25,2839.250000,1.184100,-0.070941,0.493556
2018-01-26,2872.870100,-0.673200,-0.102048,0.487820
2018-01-29,2853.530000,-1.089900,-0.034515,0.487256
2018-01-30,2822.429900,0.048900,0.110494,0.527066
2018-01-31,2823.810100,-0.064800,0.058778,0.519319
2018-02-01,2821.980000,-2.120900,-0.033093,0.504186
2018-02-02,2762.129900,-4.097900,0.183158,0.549378
2018-02-05,2648.939900,1.744100,0.449318,0.604714
2018-02-06,2695.139900,-0.500200,0.236797,0.565803
2018-02-07,2681.659900,-3.753600,0.033168,0.515763
2018-02-08,2581.000000,1.493600,0.456815,0.616801
2018-02-09,2619.550000,1.391500,0.374334,0.601169
2018-02-12,2656.000000,0.261300,-0.086198,0.517913
2018-02-13,2662.939900,1.340200,0.142489,0.561330
2018-02-14,2698.629900,1.206900,0.018372,0.511373
2018-02-15,2731.200000,0.037300,-0.129176,0.505804
2018-02-16,2732.220000,-0.584100,-0.056387,0.523496
2018-02-20,2716.260000,-0.549700,-0.068954,0.492871
2018-02-21,2701.330100,0.097400,0.013993,0.506029
2018-02-22,2703.960000,1.602800,-0.038913,0.489792
2018-02-23,2747.300000,1.175700,-0.151930,0.457540
2018-02-26,2779.600100,-1.270700,-0.114643,0.454706
2018-02-27,2744.280000,-1.109600,0.056926,0.514435
2018-02-28,2713.830100,-1.332400,0.139438,0.551957
2018-03-01,2677.669900,0.507200,0.082605,0.543535
2018-03-02,2691.250000,1.103200,0.016679,0.513979
2018-03-05,2720.939900,0.263900,-0.008449,0.472192
2018-03-06,2728.120100,-0.048400,0.018503,0.493753
2018-03-07,2726.800000,0.446300,0.115310,0.537992
2018-03-08,2738.970000,1.737900,-0.033085,0.524038
2018-03-09,2786.570100,-0.127400,-0.135305,0.495327
2018-03-12,2783.020000,-0.636400,-0.088409,0.477139
